OLPbi,OLPbt,OLPbrt,TBPbi,THObi,TBPbt,THObt,TBPbrt,THObrt,GLKbp,GLKbt,GLKbrt
24,226,NA,9.16,13.2,6.49,6.11,NA,NA,93.8,66.6,NA
40,211,NA,25,14.4,6.33,6.74,NA,NA,96.3,65.9,NA
15,197,NA,46.3,60,4.35,4.65,NA,NA,96.7,56.1,NA
21,168,NA,24.9,19.9,4.67,5.64,NA,NA,83.3,55.7,NA
57,169,NA,28.2,34.6,8.02,8.55,NA,NA,95.6,67.5,NA
21,208,NA,12.5,11,5.27,4.06,NA,NA,78.6,58.4,NA
28,226,NA,15.7,12.7,6.86,8.15,NA,NA,83.9,68.4,NA
29,201,NA,13,11.9,5.11,5.43,NA,NA,81,65.9,NA
31,215,NA,13.5,12.8,5.37,5.53,NA,NA,91.9,59.3,NA
26,226,NA,34.1,31.5,5.62,7.28,NA,NA,94.2,63.9,NA
24,210,NA,21.9,15.4,5.91,6.64,NA,NA,93.8,62.9,NA
23,191,NA,6.32,6.33,4.71,4.17,NA,NA,89.1,57.3,NA
34,169,NA,10.4,10.1,4.44,3.92,NA,NA,76.5,59.2,NA
34,187,NA,10.7,9.32,6.04,6.03,NA,NA,77.9,59.6,NA
45,208,NA,10.8,8.34,5.53,5.22,NA,NA,76.7,63.7,NA
33,193,NA,6.32,5.23,4.74,6.13,NA,NA,80.3,60.6,NA
23,167,NA,12.2,8.45,1.94,2.66,NA,NA,84.8,55.4,NA
32,196,NA,10.2,9.19,4.86,5.49,NA,NA,84.4,65.1,NA
21,207,NA,6.62,5.62,4.28,4.22,NA,NA,73.8,61.6,NA
56,226,NA,27.3,26.9,5.37,5.57,NA,NA,88.4,59.1,NA
39,197,NA,18.8,14.5,6.44,6.72,NA,NA,93.6,65.7,NA
25,204,NA,9.32,11.6,5.12,4.21,NA,NA,92,60.5,NA
20,226,NA,9.5,8.36,5.55,6.03,NA,NA,92.5,61.7,NA
13,208,NA,3.64,3.46,4.99,4.01,NA,NA,73.1,62.7,NA
11,229,NA,2.35,2.83,5.79,6.68,NA,NA,59.1,65.3,NA
15,226,NA,2.54,2.2,6.99,7.74,NA,NA,63.3,67.5,NA
12,208,NA,4.24,3.72,5.71,5.9,NA,NA,79.2,56.5,NA
59,213,NA,24.4,21,6.13,8,NA,NA,95.8,63.1,NA
44,188,NA,2.57,2.91,4.01,3.47,NA,NA,80.7,56.6,NA
35,168,NA,22.6,21.6,5.79,5.32,NA,NA,88.6,59.2,NA
27,166,NA,7.81,8.08,4.65,4.43,NA,NA,79.6,53.9,NA
27,163,NA,6.71,5.41,3.26,3.8,NA,NA,68.5,60.7,NA
24,226,NA,17,18.4,5.36,5.78,NA,NA,97.9,59.7,NA
14,211,NA,18.6,7.91,6.06,6.06,NA,NA,96.4,57.8,NA
25,197,NA,19.7,28.3,6.66,6.17,NA,NA,94,58.1,NA
17,168,NA,14.1,30.5,5.68,6.32,NA,NA,97.1,62.8,NA
15,169,NA,15.3,6.92,6.33,7.09,NA,NA,96.7,58,NA
25,208,NA,20.1,35.9,2.64,3.27,NA,NA,90,51.2,NA
16,229,NA,10.1,4.65,6.54,7.04,NA,NA,96.9,63.5,NA
40,201,NA,23.4,50.9,4.61,5.92,NA,NA,92.5,62.4,NA
8,215,NA,9.95,4.58,4.36,5.48,NA,NA,81.3,58.4,NA
