TBPbp,THObp,TBPbt,THObt,TBPrt,THOrt
9.66,7.79,3.4,3.59,NA,NA
9.36,7.91,3.94,4.47,NA,NA
16.6,17.2,4.82,5.33,NA,NA
6.44,6.46,8.1,8.58,NA,NA
5.54,7.06,7.05,7.37,NA,NA
5.76,5.94,6.94,7.96,NA,NA
2.59,2.2,4.45,4.79,NA,NA
25.8,24.7,4.1,4.47,NA,NA
10.8,9.75,6.24,6.17,NA,NA
3.98,3.44,4.67,5.1,NA,NA
11.5,12.9,9.14,9.72,NA,NA
10.5,9.58,4.03,3.71,NA,NA
9.01,8.1,7.93,8.03,NA,NA
14.8,13.1,2.67,2.7,NA,NA
9.3,10.3,3.09,2.81,NA,NA
2.92,4.03,6.14,7.09,NA,NA
7.21,6.74,2,1.94,NA,NA
2.73,2.23,5.96,5.63,NA,NA
6.09,6.63,4.37,3.68,NA,NA
5.22,4.11,6.47,6.34,NA,NA
3.09,3.78,9.08,11.1,NA,NA
3.11,3.81,3.89,3.86,NA,NA
4.51,3.04,5.83,6.37,NA,NA
3.77,2.51,10.1,11.5,NA,NA
5.01,4.69,2.99,2.34,NA,NA
5.19,5.46,3.81,3.79,NA,NA
3.87,4.43,6.21,6.24,NA,NA
2.69,2.73,2.62,3.04,NA,NA
4.8,3.33,8.52,10.2,NA,NA
4.65,6.73,5.45,5.14,NA,NA
6.15,4.79,4.58,4.84,NA,NA
6.57,5.78,6.85,7.3,NA,NA
6,9.18,6.73,7.33,NA,NA
9.94,12.6,5.32,6.14,NA,NA
6.93,12.4,7.65,7.95,NA,NA
4.44,3.38,5.25,6.12,NA,NA
12.5,10.8,5.91,6.5,NA,NA
12.6,14.2,6.35,7.22,NA,NA
9.29,6.93,5.62,5.61,NA,NA
9.78,11.3,3.54,3.47,NA,NA
12.5,7.72,6.27,6.09,NA,NA
8.59,10.8,4.08,3.93,NA,NA
4.7,4.05,7.17,8.58,NA,NA
5.96,4.6,2.86,2.9,NA,NA
2.41,3.04,2.56,3.15,NA,NA
12.4,16.4,6.33,6.99,NA,NA
7.73,5.16,3.4,3.42,NA,NA
4.77,3.72,7.99,8.59,NA,NA
8.17,6.8,4.58,4.05,NA,NA
11.2,9.68,7.16,8.45,NA,NA
8.88,11.5,6.33,7.35,NA,NA
7.64,7.05,5.26,4.9,NA,NA
6.18,4.48,7.82,8.31,NA,NA
11.3,9.88,4.97,4.66,NA,NA
16.3,16.6,5.91,5.89,NA,NA
12.4,11.1,5.38,5.95,NA,NA
8.78,8.59,3.68,4.6,NA,NA
6.88,7.39,8,8.54,NA,NA
6.91,6.18,7.95,7.48,NA,NA
11.8,13.6,5.07,5.82,NA,NA
7.31,6,8.74,9.43,NA,NA
8.38,9.14,6.96,7.12,NA,NA
28.3,39.8,5.33,5.17,NA,NA
7.04,6.64,7.11,7.11,NA,NA
2.6,5.07,8.46,7.76,NA,NA
6.1,10.3,7.98,8.49,NA,NA
4.19,3.3,6.57,6.15,NA,NA
4.42,3.54,6.64,6.32,NA,NA
7.59,4.95,5.85,5.01,NA,NA
10.1,3.96,6.76,6.33,NA,NA
11.3,12.1,8.95,8.54,NA,NA
20.8,22,8.15,8.25,NA,NA
7.72,7.49,6.38,6.05,NA,NA
10.2,5.83,5.87,6.21,NA,NA
12.2,13.2,8.7,7.99,NA,NA
16.4,28.7,6.45,5.99,NA,NA
17.5,15.8,6.05,5.55,NA,NA
9.72,10.1,7.58,7.8,NA,NA
2.64,2.9,6.88,5.46,NA,NA
2.36,2.28,8.16,8.47,NA,NA
16.3,16.1,3.22,2.78,NA,NA
11.4,8.53,4.45,3.5,NA,NA
12.7,13.3,4.33,3.79,NA,NA
8.07,4.55,5.91,6.28,NA,NA
5.88,11.8,1.31,1.92,NA,NA
18.4,25.9,11,12.7,NA,NA
47.1,37.8,6.52,6.52,NA,NA
24.4,18.4,3.9,4.87,NA,NA
11.8,14.3,6.28,7.69,NA,NA
34.7,30.2,5.89,6.49,NA,NA
17.1,20,7.02,7.11,NA,NA
17.4,21.2,6,6.72,NA,NA
19.2,18.5,7.57,8.05,NA,NA
7.63,6.74,8.1,9.13,NA,NA
9.15,9.51,5.5,6.15,NA,NA
16.4,12.5,5.58,5.54,NA,NA
15.1,9.99,6.14,4.7,NA,NA
9.12,7.09,7.81,8.42,NA,NA
10.5,8.92,5.28,4.93,NA,NA
15.2,14,10.8,11.6,NA,NA
11,10.5,2.35,2.29,NA,NA
12,9.44,3.92,4.33,NA,NA
9.43,10.5,8.11,9.01,NA,NA
17.7,14.4,4.41,4,NA,NA
12.2,11.9,5.86,6.41,NA,NA
5.93,7.04,4.1,4.1,NA,NA
8.48,7.7,8.33,9.16,NA,NA
17.3,24.5,7.45,9.34,NA,NA
20.3,17.3,5.29,5.3,NA,NA
14.3,18,3.62,2.95,NA,NA
5.45,6.4,2.82,2.36,NA,NA
7.03,8.61,0.76,1.05,NA,NA
6.27,5.86,2.43,2.43,NA,NA
7.05,5.82,5.08,4.48,NA,NA
3.88,6.29,4.33,3.99,NA,NA
NA,NA,4.75,3.95,NA,NA
NA,NA,4.87,4.92,NA,NA
NA,NA,3.96,3.54,NA,NA
NA,NA,5.38,4.83,NA,NA
NA,NA,3.97,3.96,NA,NA
NA,NA,3.78,3.66,NA,NA
NA,NA,3.8,2.66,NA,NA
NA,NA,8.06,7.19,NA,NA
NA,NA,5.36,4.94,NA,NA
NA,NA,3.38,2.81,NA,NA
NA,NA,6.63,5.98,NA,NA
NA,NA,4.49,3.44,NA,NA
NA,NA,3.01,2.97,NA,NA
NA,NA,5.42,4.72,NA,NA
NA,NA,5.8,5.04,NA,NA
NA,NA,2.93,2.92,NA,NA
NA,NA,4.74,3.78,NA,NA
NA,NA,3.75,3.68,NA,NA
NA,NA,4.34,3.16,NA,NA
NA,NA,3.63,3.58,NA,NA
NA,NA,3.62,3.07,NA,NA
NA,NA,5.74,6.17,NA,NA
NA,NA,4.16,4.68,NA,NA
NA,NA,4.22,3.95,NA,NA
NA,NA,5.76,5.7,NA,NA
NA,NA,4.76,4.6,NA,NA
NA,NA,3.95,4.01,NA,NA
NA,NA,4.16,3.83,NA,NA
NA,NA,3.62,3.52,NA,NA
NA,NA,4.73,5.16,NA,NA
NA,NA,4.28,4.27,NA,NA
NA,NA,4.81,4.75,NA,NA
NA,NA,5.41,5.11,NA,NA
NA,NA,4.86,4.84,NA,NA
NA,NA,5.08,4.68,NA,NA
NA,NA,4.96,4.85,NA,NA
NA,NA,6.09,6.15,NA,NA
NA,NA,5.09,4.17,NA,NA
NA,NA,4.67,4.29,NA,NA
NA,NA,3.19,3.57,NA,NA
NA,NA,4.48,4,NA,NA
NA,NA,4.15,3.73,NA,NA
NA,NA,4.6,3.77,NA,NA
NA,NA,6.11,6.61,NA,NA
NA,NA,4.99,3.61,NA,NA
NA,NA,3.78,3.95,NA,NA
NA,NA,3.78,2.83,NA,NA
NA,NA,2.47,2.74,NA,NA
NA,NA,5.29,4.84,NA,NA
NA,NA,5.03,5.12,NA,NA
NA,NA,5.21,5.54,NA,NA
NA,NA,4.97,5.88,NA,NA
NA,NA,3.89,4.54,NA,NA
NA,NA,4.27,4.46,NA,NA
NA,NA,4.26,4.45,NA,NA
NA,NA,3.26,3.6,NA,NA
NA,NA,5.38,5.99,NA,NA
NA,NA,5.67,5.95,NA,NA
NA,NA,3.58,3.41,NA,NA
NA,NA,4.04,3.19,NA,NA
NA,NA,4.9,4.78,NA,NA
NA,NA,5.15,4.96,NA,NA
NA,NA,5.67,5.7,NA,NA
NA,NA,2.23,2.84,NA,NA
NA,NA,3.32,4.29,NA,NA
NA,NA,5.88,5.43,NA,NA
NA,NA,2.98,2.84,NA,NA
NA,NA,4.91,4.51,NA,NA
NA,NA,3.65,4.28,NA,NA
NA,NA,5.92,5.64,NA,NA
NA,NA,5.01,5.93,NA,NA
NA,NA,2.73,1.91,NA,NA
NA,NA,1.86,2.31,NA,NA
NA,NA,4.78,5.13,NA,NA
NA,NA,3.76,3.56,NA,NA
NA,NA,4.8,4.96,NA,NA
NA,NA,4.59,5.23,NA,NA
NA,NA,0,0,NA,NA
NA,NA,2.21,3.29,NA,NA
NA,NA,2.18,2.15,NA,NA
NA,NA,2.5,3.1,NA,NA
NA,NA,4.96,4.93,NA,NA
NA,NA,1.92,2.15,NA,NA
NA,NA,0.36,0.66,NA,NA
NA,NA,1.22,1.24,NA,NA
NA,NA,3.96,4.43,NA,NA
NA,NA,3.26,3.61,NA,NA
NA,NA,4.51,4.61,NA,NA
NA,NA,1.88,1.82,NA,NA
NA,NA,2.83,3.46,NA,NA
NA,NA,1.86,2.18,NA,NA
NA,NA,3.76,4.06,NA,NA
NA,NA,4.07,4.36,NA,NA
NA,NA,1.53,0.67,NA,NA
NA,NA,3.99,4.2,NA,NA
NA,NA,0,0.06,NA,NA
NA,NA,7.02,6.83,NA,NA
NA,NA,3.83,5.42,NA,NA
NA,NA,3.37,4.9,NA,NA
NA,NA,6.16,6.87,NA,NA
NA,NA,6.87,7.56,NA,NA
NA,NA,6.5,6.24,NA,NA
NA,NA,7.92,8.81,NA,NA
NA,NA,7.59,8.36,NA,NA
NA,NA,5.93,6.5,NA,NA
NA,NA,6.13,6.21,NA,NA
NA,NA,4.3,3.35,NA,NA
NA,NA,7.16,7.93,NA,NA
NA,NA,4.56,4.97,NA,NA
NA,NA,9.49,9.19,NA,NA
NA,NA,2.81,2.2,NA,NA
NA,NA,4.24,4.93,NA,NA
NA,NA,6.76,7.68,NA,NA
NA,NA,4.27,4.27,NA,NA
NA,NA,5.74,5.45,NA,NA
NA,NA,4.46,4.64,NA,NA
NA,NA,8.05,8.55,NA,NA
NA,NA,7.43,9.17,NA,NA
NA,NA,3.83,4.12,NA,NA
NA,NA,5.82,6.4,NA,NA
NA,NA,8.29,8.92,NA,NA
NA,NA,7.08,6.98,NA,NA
NA,NA,3.5,4.57,NA,NA
NA,NA,7.87,7.24,NA,NA
NA,NA,5.49,5.16,NA,NA
NA,NA,5.36,6.06,NA,NA
NA,NA,7.74,7.6,NA,NA
NA,NA,7.81,7.71,NA,NA
NA,NA,3.19,2.83,NA,NA
NA,NA,6.04,5.93,NA,NA
NA,NA,9.65,8.9,NA,NA
NA,NA,8.02,7.79,NA,NA
NA,NA,6.01,5.65,NA,NA
NA,NA,6.21,6.77,NA,NA
NA,NA,6.81,5.99,NA,NA
NA,NA,3.97,3.7,NA,NA
NA,NA,6.48,5.52,NA,NA
NA,NA,7.95,8.28,NA,NA
NA,NA,7.25,6.06,NA,NA
NA,NA,5.15,5.63,NA,NA
NA,NA,3.34,3.02,NA,NA
NA,NA,6.51,6.93,NA,NA
NA,NA,6.69,7.98,NA,NA
NA,NA,1.78,1.98,NA,NA
NA,NA,5.75,5.39,NA,NA
NA,NA,3.14,4.1,NA,NA
NA,NA,2.19,3.55,NA,NA
NA,NA,7.23,8.46,NA,NA
NA,NA,7.31,6.63,NA,NA
NA,NA,4.21,3.31,NA,NA
NA,NA,4.06,3.55,NA,NA
NA,NA,6.87,6.64,NA,NA
NA,NA,3.4,3.91,NA,NA
NA,NA,3.27,3.96,NA,NA
NA,NA,2.08,3.49,NA,NA
NA,NA,5.75,5.91,NA,NA
NA,NA,4.68,5.08,NA,NA
NA,NA,6.74,6.33,NA,NA
NA,NA,4.49,5.04,NA,NA
NA,NA,4.82,5.78,NA,NA
NA,NA,3.81,5.08,NA,NA
NA,NA,2.97,2.86,NA,NA
NA,NA,6.11,7.12,NA,NA
NA,NA,2.41,3.21,NA,NA
NA,NA,6.41,6.31,NA,NA
NA,NA,4.9,4.99,NA,NA
NA,NA,5.52,6.36,NA,NA
NA,NA,7.71,7.82,NA,NA
NA,NA,4.92,4.82,NA,NA
NA,NA,3.01,2.62,NA,NA
NA,NA,5.66,4.69,NA,NA
NA,NA,6.95,7.26,NA,NA
NA,NA,5.85,7.09,NA,NA
NA,NA,5.35,5,NA,NA
NA,NA,3.56,4.58,NA,NA
NA,NA,5.49,5.53,NA,NA
NA,NA,3.32,3.5,NA,NA
NA,NA,8,7.65,NA,NA
NA,NA,6.29,5.88,NA,NA
NA,NA,4.25,4.79,NA,NA
NA,NA,5.69,6.81,NA,NA
NA,NA,3.1,2.98,NA,NA
NA,NA,2.87,3.01,NA,NA
NA,NA,6.07,6.83,NA,NA
NA,NA,5.82,6.31,NA,NA
NA,NA,5.26,6.05,NA,NA
NA,NA,9.3,11.1,NA,NA
NA,NA,5.3,6,NA,NA
NA,NA,3.44,3,NA,NA
NA,NA,3.44,3.17,NA,NA
NA,NA,7.75,7.38,NA,NA
NA,NA,5.09,4.54,NA,NA
NA,NA,6.89,7.15,NA,NA
NA,NA,3.04,3.25,NA,NA
NA,NA,8.59,8.75,NA,NA
NA,NA,4.39,4.54,NA,NA
NA,NA,5.88,5.85,NA,NA
NA,NA,6.43,6.06,NA,NA
NA,NA,6.73,6.78,NA,NA
NA,NA,6.65,7.73,NA,NA
NA,NA,3.59,3.33,NA,NA
NA,NA,4.06,3.78,NA,NA
NA,NA,7.65,7.68,NA,NA
NA,NA,6.68,6.74,NA,NA
NA,NA,2.45,2.96,NA,NA
NA,NA,5.94,6.57,NA,NA
NA,NA,6.05,5.58,NA,NA
NA,NA,13.3,13,NA,NA
NA,NA,3.44,3.39,NA,NA
NA,NA,7.76,7.84,NA,NA
NA,NA,0.41,0.77,NA,NA
NA,NA,4.89,4.69,NA,NA
NA,NA,4.75,4.7,NA,NA
NA,NA,2.46,1.4,NA,NA
NA,NA,3.23,3.12,NA,NA
NA,NA,2.5,2.96,NA,NA
NA,NA,7.33,6.73,NA,NA
NA,NA,6.15,6.68,NA,NA
NA,NA,3.66,4.02,NA,NA
NA,NA,4.84,5.66,NA,NA
NA,NA,4.55,5.03,NA,NA
NA,NA,5.24,5.76,NA,NA
NA,NA,8.94,8.04,NA,NA
NA,NA,4.95,4.27,NA,NA
NA,NA,7.06,6.21,NA,NA
NA,NA,8.83,8.93,NA,NA
NA,NA,5.81,6.01,NA,NA
NA,NA,5.43,5.61,NA,NA
NA,NA,3.31,3.51,NA,NA
NA,NA,6.4,6.54,NA,NA
NA,NA,3.04,3.57,NA,NA
NA,NA,9.29,8.17,NA,NA
NA,NA,5.02,4.59,NA,NA
NA,NA,6.83,5.91,NA,NA
NA,NA,4.87,5.75,NA,NA
NA,NA,4.43,3.54,NA,NA
NA,NA,6.47,6.99,NA,NA
NA,NA,7.04,7.23,NA,NA
NA,NA,6.51,6.64,NA,NA
NA,NA,6.49,7.12,NA,NA
NA,NA,7.08,7.36,NA,NA
NA,NA,5.03,5.43,NA,NA
NA,NA,6.67,6.71,NA,NA
NA,NA,2.79,3.29,NA,NA
NA,NA,4.82,4.36,NA,NA
NA,NA,9.19,10.5,NA,NA
NA,NA,1.93,2.61,NA,NA
NA,NA,5.37,5.53,NA,NA
NA,NA,4.2,4.3,NA,NA
NA,NA,6.22,6.29,NA,NA
NA,NA,6.63,7.4,NA,NA
NA,NA,3.56,4.44,NA,NA
NA,NA,7.71,7.74,NA,NA
NA,NA,4.79,5.27,NA,NA
NA,NA,2.1,1.9,NA,NA
NA,NA,5.8,6.3,NA,NA
