d,res,pw,FSx,Fsy
45,6122,0.004,34.254,22.836
65,4328,0.006,48.452,32.302
85,3426,0.007,61.209,40.806
105,2829,0.009,74.126,49.417
125,2407,0.011,87.122,58.081
145,2101,0.012,99.811,66.541
165,1868,0.014,112.26,74.84
